"District (IN CODE)","Thana (IN CODE)","District (IN CSV)","Upazila / Thana (IN CSV)","Region"
"Bagerhat","Bagerhat Sadar","Bagerhat","Bagerhat Sadar","Khulna"
"Bagerhat","Chitalmari","Bagerhat","Chitalmari","Khulna"
"Bagerhat","Fakirhat","Bagerhat","Fakirhat","Khulna"
"Bagerhat","Kachua","Bagerhat","Kachua","Khulna"
"Bagerhat","Mollahat","Bagerhat","Mollahat","Khulna"
"Bagerhat","Mongla","Bagerhat","Mongla","Khulna"
"Bagerhat","Morrelganj","Bagerhat","Morrelganj","Khulna"
"Bagerhat","Rampal","Bagerhat","Rampal","Khulna"
"Bagerhat","Sarankhola","Bagerhat","Sarankhola","Khulna"
"Bandarban","Alikadam","Bandarban","Alikadam","Chittagong"
"Bandarban","Bandarban Sadar","Bandarban","Bandarban Sadar","Chittagong"
"Bandarban","Lama","Bandarban","Lama","Chittagong"
"Bandarban","Naikhongchhari","Bandarban","Naikhongchhari","Chittagong"
"Bandarban","Rowangchhari","Bandarban","Rowangchhari","Chittagong"
"Bandarban","Ruma","Bandarban","Ruma","Chittagong"
"Bandarban","Thanchi","Bandarban","Thanchi","Chittagong"
"Barguna","Amtali","Barguna","Amtali","Barisal"
"Barguna","Bamna","Barguna","Bamna","Barisal"
"Barguna","Barguna Sadar","Barguna","Barguna Sadar","Barisal"
"Barguna","Betagi","Barguna","Betagi","Barisal"
"Barguna","Patharghata","Barguna","Patharghata","Barisal"
"Barisal","Agailjhara","Barisal","Agailljhara","Barisal"
"Barisal","Babuganj","Barisal","Babuganj","Barisal"
"Barisal","Bakerganj","Barisal","Bakerganj","Barisal"
"Barisal","Banari Para","Barisal","Banaripara","Barisal"
"Barisal","Barisal Sadar (Kotwali)","Barisal","Barishal Sadar","Barisal"
"Barisal","Gaurnadi","Barisal","Gaurnadi","Barisal"
"Barisal","Hizla","Barisal","Hizla","Barisal"
"Barisal","Mehendiganj","Barisal","Mehendiganj","Barisal"
"Barisal","Muladi","Barisal","Muladi","Barisal"
"Barisal","Wazirpur","Barisal","Wazipur","Barisal"
"Bhola","Bhola Sadar","Bhola","Bhola Sadar","Barisal"
"Bhola","Burhanuddin","Bhola","Burhanuddin","Barisal"
"Bhola","Char Fasson","Bhola","Char Fasson","Barisal"
"Bhola","Daulatkhan","Bhola","Daulat Khan","Barisal"
"Bhola","Lalmohan","Bhola","Lalmohan","Barisal"
"Bhola","Manpura","Bhola","Manpura","Barisal"
